,domain,layer,dim,problem,repeat,plan_length,plan_found,time
84,blocksworld,1,1,0_29,0,82.0,True,2.3836328983306885
85,blocksworld,1,1,0_29,1,78.0,True,2.2462592124938965
86,blocksworld,1,1,0_29,2,80.0,True,2.6104655265808105
87,blocksworld,1,1,0_30,0,96.0,True,3.046922445297241
88,blocksworld,1,1,0_30,1,98.0,True,2.963127613067627
89,blocksworld,1,1,0_30,2,98.0,True,3.502159595489502
90,blocksworld,1,1,1_01,0,116.0,True,4.205646276473999
91,blocksworld,1,1,1_01,1,118.0,True,3.9410886764526367
92,blocksworld,1,1,1_01,2,118.0,True,4.113835096359253
93,blocksworld,1,1,1_02,0,122.0,True,4.512810707092285
94,blocksworld,1,1,1_02,1,122.0,True,4.43849778175354
95,blocksworld,1,1,1_02,2,122.0,True,4.489923715591431
96,blocksworld,1,1,1_03,0,128.0,True,4.8533899784088135
97,blocksworld,1,1,1_03,1,134.0,True,4.647899389266968
98,blocksworld,1,1,1_03,2,126.0,True,4.581563711166382
99,blocksworld,1,1,1_04,0,164.0,True,7.663314342498779
100,blocksworld,1,1,1_04,1,162.0,True,6.92467474937439
101,blocksworld,1,1,1_04,2,166.0,True,6.608579397201538
102,blocksworld,1,1,1_05,0,168.0,True,6.806400299072266
103,blocksworld,1,1,1_05,1,162.0,True,6.742250680923462
104,blocksworld,1,1,1_05,2,164.0,True,6.655769348144531
105,blocksworld,1,1,1_06,0,164.0,True,6.946991205215454
106,blocksworld,1,1,1_06,1,166.0,True,6.949452638626099
107,blocksworld,1,1,1_06,2,162.0,True,6.718090295791626
108,blocksworld,1,1,1_07,0,192.0,True,9.07799220085144
109,blocksworld,1,1,1_07,1,186.0,True,8.69721794128418
110,blocksworld,1,1,1_07,2,186.0,True,9.455986976623535
111,blocksworld,1,1,1_08,0,202.0,True,11.456607580184937
112,blocksworld,1,1,1_08,1,192.0,True,13.89799976348877
113,blocksworld,1,1,1_08,2,198.0,True,12.1583833694458
114,blocksworld,1,1,1_09,0,214.0,True,10.969308614730835
115,blocksworld,1,1,1_09,1,214.0,True,11.024298667907715
116,blocksworld,1,1,1_09,2,206.0,True,11.193495750427246
117,blocksworld,1,1,1_10,0,222.0,True,12.026696920394897
118,blocksworld,1,1,1_10,1,224.0,True,12.273725509643555
119,blocksworld,1,1,1_10,2,220.0,True,12.955116748809814
120,blocksworld,1,1,1_11,0,232.0,True,15.273221015930176
121,blocksworld,1,1,1_11,1,230.0,True,14.912291526794434
122,blocksworld,1,1,1_11,2,238.0,True,16.49467444419861
123,blocksworld,1,1,1_12,0,264.0,True,18.67098355293274
124,blocksworld,1,1,1_12,1,260.0,True,18.43432331085205
125,blocksworld,1,1,1_12,2,260.0,True,17.96658229827881
126,blocksworld,1,1,1_13,0,284.0,True,20.754024028778076
127,blocksworld,1,1,1_13,1,278.0,True,19.904293298721313
128,blocksworld,1,1,1_13,2,284.0,True,20.257318019866943
129,blocksworld,1,1,1_14,0,278.0,True,18.44870924949646
130,blocksworld,1,1,1_14,1,276.0,True,19.648528814315796
