domain,problem,repeat,time,plan_length,plan_found
blocksworld,0_11,4,3.660814046859741,48.0,True
blocksworld,0_11,5,3.8214528560638428,48.0,True
blocksworld,0_11,6,3.9605674743652344,48.0,True
blocksworld,0_11,7,3.747411012649536,48.0,True
blocksworld,0_11,8,3.8080079555511475,48.0,True
blocksworld,0_11,9,3.5450737476348877,48.0,True
blocksworld,0_12,0,3.5237374305725098,46.0,True
blocksworld,0_12,1,3.146646499633789,46.0,True
blocksworld,0_12,2,3.5534157752990723,46.0,True
blocksworld,0_12,3,3.7233457565307617,46.0,True
blocksworld,0_12,4,3.5873918533325195,44.0,True
blocksworld,0_12,5,3.7488393783569336,46.0,True
blocksworld,0_12,6,2.9024338722229004,42.0,True
blocksworld,0_12,7,3.502607822418213,42.0,True
blocksworld,0_12,8,3.742387533187866,44.0,True
blocksworld,0_12,9,3.4137394428253174,44.0,True
blocksworld,0_13,0,3.4452097415924072,48.0,True
blocksworld,0_13,1,3.809912919998169,46.0,True
blocksworld,0_13,2,3.9841506481170654,46.0,True
blocksworld,0_13,3,4.0166661739349365,48.0,True
blocksworld,0_13,4,4.212473154067993,48.0,True
blocksworld,0_13,5,3.971827507019043,46.0,True
blocksworld,0_13,6,3.1899526119232178,42.0,True
blocksworld,0_13,7,4.253559350967407,46.0,True
blocksworld,0_13,8,4.111883878707886,48.0,True
blocksworld,0_13,9,4.075191259384155,48.0,True
blocksworld,0_14,0,4.099729776382446,50.0,True
blocksworld,0_14,1,3.7326459884643555,46.0,True
blocksworld,0_14,2,3.834752321243286,50.0,True
blocksworld,0_14,3,3.355414390563965,50.0,True
blocksworld,0_14,4,3.7779128551483154,44.0,True
blocksworld,0_14,5,3.600464105606079,46.0,True
blocksworld,0_14,6,3.892843008041382,44.0,True
blocksworld,0_14,7,3.9424591064453125,48.0,True
blocksworld,0_14,8,3.7843713760375977,44.0,True
blocksworld,0_14,9,4.1042985916137695,48.0,True
