,domain,problem,time,plan_length,plan_found
177,rover,1_28,,,False
178,rover,1_29,,,False
179,rover,1_30,,,False
180,satellite,0_01,100.204052,4.0,True
181,satellite,0_02,100.027606,8.0,True
182,satellite,0_03,100.042833,8.0,True
183,satellite,0_04,100.037467,5.0,True
184,satellite,0_05,100.051815,9.0,True
185,satellite,0_06,100.074535,10.0,True
186,satellite,0_07,100.08867,10.0,True
187,satellite,0_08,100.085879,8.0,True
188,satellite,0_09,100.165226,9.0,True
189,satellite,0_10,100.245751,8.0,True
190,satellite,0_11,100.520154,17.0,True
191,satellite,0_12,100.139513,11.0,True
192,satellite,0_13,100.143474,8.0,True
193,satellite,0_14,100.43958,18.0,True
194,satellite,0_15,100.387479,13.0,True
195,satellite,0_16,138.044884,21.0,True
196,satellite,0_17,102.727439,21.0,True
197,satellite,0_18,100.120536,12.0,True
198,satellite,0_19,109.734572,25.0,True
199,satellite,0_20,148.732668,30.0,True
200,satellite,0_21,239.93849,30.0,True
201,satellite,0_22,759.80264,29.0,True
202,satellite,0_23,110.106194,18.0,True
203,satellite,0_24,100.062447,11.0,True
204,satellite,0_25,243.630089,26.0,True
205,satellite,0_26,,,False
206,satellite,0_27,,,False
207,satellite,0_28,,,False
208,satellite,0_29,100.265118,12.0,True
209,satellite,0_30,,,False
210,satellite,1_01,,,False
211,satellite,1_02,,,False
212,satellite,1_03,,,False
213,satellite,1_04,,,False
214,satellite,1_05,,,False
215,satellite,1_06,,,False
216,satellite,1_07,,,False
217,satellite,1_08,100.805901,12.0,True
218,satellite,1_09,,,False
219,satellite,1_10,184.951677,21.0,True
220,satellite,1_11,,,False
221,satellite,1_12,,,False
222,satellite,1_13,,,False
223,satellite,1_14,,,False
224,satellite,1_15,304.54335,22.0,True
225,satellite,1_16,,,False
226,satellite,1_17,,,False
227,satellite,1_18,,,False
228,satellite,1_19,,,False
229,satellite,1_20,,,False
230,satellite,1_21,,,False
231,satellite,1_22,,,False
232,satellite,1_23,,,False
233,satellite,1_24,,,False
234,satellite,1_25,,,False
235,satellite,1_26,,,False
236,satellite,1_27,,,False
237,satellite,1_28,,,False
238,satellite,1_29,,,False
239,satellite,1_30,,,False
240,transport,0_01,0.005202,3.0,True
241,transport,0_02,0.00557,4.0,True
242,transport,0_03,0.025756,7.0,True
243,transport,0_04,0.024275,10.0,True
244,transport,0_05,0.052082,13.0,True
245,transport,0_06,0.052103,13.0,True
246,transport,0_07,0.461818,15.0,True
247,transport,0_08,0.425084,16.0,True
248,transport,0_09,7.291933,22.0,True
249,transport,0_10,13.984927,17.0,True
250,transport,0_11,101.103808,21.0,True
251,transport,0_12,100.892329,21.0,True
252,transport,0_13,100.42746,29.0,True
253,transport,0_14,100.532162,35.0,True
254,transport,0_15,100.377772,29.0,True
255,transport,0_16,104.659136,38.0,True
256,transport,0_17,101.186993,33.0,True
257,transport,0_18,101.159541,34.0,True
258,transport,0_19,710.181354,46.0,True
259,transport,0_20,107.283937,39.0,True
260,transport,0_21,105.352568,39.0,True
261,transport,0_22,102.983901,36.0,True
262,transport,0_23,135.021993,44.0,True
263,transport,0_24,,,False
264,transport,0_25,,,False
265,transport,0_26,193.835263,45.0,True
266,transport,0_27,,,False
267,transport,0_28,1335.724702,50.0,True
268,transport,0_29,124.189701,47.0,True
269,transport,0_30,100.658692,44.0,True
270,transport,1_01,47.797956,28.0,True
271,transport,1_02,100.439091,24.0,True
272,transport,1_03,100.270376,29.0,True
273,transport,1_04,100.177873,32.0,True
274,transport,1_05,101.554271,40.0,True
