,domain,problem,time,plan_length,plan_found
129,rover,0_10,0.004431,16.0,True
130,rover,0_11,0.00619,31.0,True
131,rover,0_12,0.023024,28.0,True
132,rover,0_13,0.023372,37.0,True
133,rover,0_14,0.022248,25.0,True
134,rover,0_15,0.02615,42.0,True
135,rover,0_16,0.011669,27.0,True
136,rover,0_17,0.014614,67.0,True
137,rover,0_18,0.024807,28.0,True
138,rover,0_19,0.032302,60.0,True
139,rover,0_20,0.060131,94.0,True
140,rover,0_21,0.031654,46.0,True
141,rover,0_22,0.059263,98.0,True
142,rover,0_23,0.024932,77.0,True
143,rover,0_24,0.035642,74.0,True
144,rover,0_25,0.019809,53.0,True
145,rover,0_26,0.018032,47.0,True
146,rover,0_27,0.036536,76.0,True
147,rover,0_28,0.132367,123.0,True
148,rover,0_29,0.02394,25.0,True
149,rover,0_30,0.075281,107.0,True
150,rover,1_01,0.247271,142.0,True
151,rover,1_02,0.148308,140.0,True
152,rover,1_03,1.467337,300.0,True
153,rover,1_04,0.837761,227.0,True
154,rover,1_05,1.73025,296.0,True
155,rover,1_06,1.511255,222.0,True
156,rover,1_07,1.321257,215.0,True
157,rover,1_08,4.353574,358.0,True
158,rover,1_09,2.060172,255.0,True
159,rover,1_10,2.072413,228.0,True
160,rover,1_11,19.253476,446.0,True
161,rover,1_12,7.770036,521.0,True
162,rover,1_13,9.486388,385.0,True
163,rover,1_14,9.461184,218.0,True
164,rover,1_15,4.634567,193.0,True
165,rover,1_16,11.824328,228.0,True
166,rover,1_17,62.171719,471.0,True
167,rover,1_18,,,False
168,rover,1_19,,,False
169,rover,1_20,102.880539,635.0,True
170,rover,1_21,134.29731,483.0,True
171,rover,1_22,48.176162,328.0,True
172,rover,1_23,56.11762,689.0,True
173,rover,1_24,19.415517,194.0,True
174,rover,1_25,611.103716,806.0,True
175,rover,1_26,127.36994,609.0,True
176,rover,1_27,,,False
177,rover,1_28,1019.631993,872.0,True
178,rover,1_29,,,False
179,rover,1_30,268.62029,1188.0,True
180,satellite,0_01,0.019796,4.0,True
181,satellite,0_02,0.019976,8.0,True
182,satellite,0_03,0.019873,8.0,True
183,satellite,0_04,0.002761,5.0,True
184,satellite,0_05,0.020166,9.0,True
185,satellite,0_06,0.00993,15.0,True
186,satellite,0_07,0.014686,10.0,True
187,satellite,0_08,0.00335,10.0,True
188,satellite,0_09,0.018138,10.0,True
189,satellite,0_10,0.005519,8.0,True
190,satellite,0_11,0.006162,21.0,True
191,satellite,0_12,0.02087,12.0,True
192,satellite,0_13,0.004088,10.0,True
193,satellite,0_14,0.005163,18.0,True
194,satellite,0_15,0.021553,13.0,True
195,satellite,0_16,0.007053,22.0,True
196,satellite,0_17,0.00631,21.0,True
197,satellite,0_18,0.022226,14.0,True
198,satellite,0_19,0.024729,26.0,True
199,satellite,0_20,0.010933,37.0,True
200,satellite,0_21,0.012797,34.0,True
201,satellite,0_22,0.009256,30.0,True
202,satellite,0_23,0.007566,19.0,True
203,satellite,0_24,0.02291,12.0,True
